metadata,chem_id,similarity,name,dsstox_sid,dsstox_cid,casrn,mol_weight,smiles,jaccard_chm_pfas,fp_list,fp_bitstring
,DTXCID201527837,0.166666667,"17beta-Acetyloxy-3-(perfluorobutyryloxy)androsta-2,4-diene",DTXSID201045445,DTXCID201527837,49566-69-0,526.492,CC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(OC(=O)C(F)(F)C(F)(F)C(F)(F)F)=CC[C@]4(C)[C@H]3CC[C@]12C,0.166666667,"pfas_bond:C=O_carbonyl_generic_CF,pfas_chain:perF-linear_cap_C3_excl",1.00E+114
,DTXCID20326133,0.166666667,"1H,1H-Perfluoro-n-decyl acrylate",DTXSID00375104,DTXCID20326133,335-83-1,554.151,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)C=C,0.166666667,"pfas_bond:C(=O)O_carboxylicEster_acyclic_OCCF,pfas_chain:FT_n1_hetero,pfas_chain:FT_n1_O,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_C9_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C9_excl_mod,pfas_chain:perF-linear_cap_C9_plus",1.00E+119
,DTXCID101326521,0.166666667,"1H,2H,2H-perfluorooctanal (2,4-dinitrophenyl)hydrazone",DTXSID60897094,DTXCID101326521,128917-19-1,542.213,[O-][N+](=O)C1=CC(=C(N\N=C\CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1)[N+]([O-])=O,0.166666667,"pfas_chain:perF-linear_cap_C6_excl_mod,pfas_chain:perF-linear_cap_C6_plus",1.10E+24
,DTXCID00331023,0.166666667,1H-Perfluorooct-1-yne,DTXSID70379997,DTXCID00331023,55756-24-6,344.075,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C#C,0.166666667,"pfas_chain:alkyne_ethyne_generic_CF,pfas_chain:perF-linear_cap_C6_plus",1.00E+61
,DTXCID501520747,0.166666667,1‐(Dimethylamino)‐3-(perfluorohexyl)‐2‐(hydroxymethoxy)propan‐3‐yl formate,DTXSID901036643,DTXCID501520747,NOCAS_1036643,495.237,CN(C)CC(OCO)C(OC=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.166666667,"pfas_chain:perF-linear_cap_C6_excl_mod,pfas_chain:perF-linear_cap_C6_plus",1.10E+24
,DTXCID101326226,0.166666667,2'-Deoxy-5-(tridecafluorohexyl)uridine,DTXSID90896737,DTXCID101326226,144862-39-5,546.241,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(C(=O)NC1=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.166666667,"pfas_chain:perF-linear_cap_C6_excl_mod,pfas_chain:perF-linear_cap_C6_plus",1.10E+24
,DTXCID901781846,0.166666667,"2'‐[(Perfluoropropanoyl)oxy]‐[1,1'‐ biphenyl]‐2‐yl perfluoropropanoate",DTXSID601353294,DTXCID901781846,110262-08-3,478.242,FC(F)(F)C(F)(F)C(=O)OC1=C(C=CC=C1)C1=C(OC(=O)C(F)(F)C(F)(F)F)C=CC=C1,0.166666667,"pfas_bond:C=O_carbonyl_generic_CF,pfas_chain:perF-linear_cap_C2_excl",1.00E+114
,DTXCID80424503,0.166666667,"2(3H)-Furanone, 3,3,4,4-tetrafluorodihydro-",DTXSID50473689,DTXCID80424503,58816-74-3,158.052,FC1(F)COC(=O)C1(F)F,0.166666667,"pfas_bond:C=O_carbonyl_generic_CF,pfas_ring:generic_CF",1.00E+114
,DTXCID60408700,0.166666667,"2(3H)-Furanone, 3,4,4-trifluorodihydro-5,5-dimethyl-",DTXSID30457881,DTXCID60408700,60375-64-6,168.115,CC1(C)OC(=O)C(F)C1(F)F,0.166666667,"pfas_bond:C=O_carbonyl_generic_CF,pfas_ring:generic_CF",1.00E+114
,DTXCID20720955,0.166666667,"2,2,3,3,3-Pentafluoro-1-(triphenylsilyl)propan-1-one",DTXSID60770212,DTXCID20720955,141334-26-1,406.427,FC(F)(F)C(F)(F)C(=O)[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,0.166666667,"pfas_bond:C=O_carbonyl_generic_CF,pfas_chain:perF-linear_cap_C2_excl",1.00E+114
