metadata,chem_id,similarity,name,dsstox_sid,dsstox_cid,casrn,mol_weight,smiles,jaccard_chm_pfas,fp_list,fp_bitstring
,DTXCID801326815,0.090909091,"4,5-Dihydro-2-phenyl-α-((perfluorohexyl)ethyloxy)methyl-1H-Imidazole-1-ethanol",DTXSID80897475,DTXCID801326815,1363391-48-3,566.363,OC(COCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CN1CCN=C1C1=CC=CC=C1,0.090909091,"pfas_chain:FT_n2_hetero,pfas_chain:FT_n2_O,pfas_chain:perF-linear_cap_C6_excl_mod,pfas_chain:perF-linear_cap_C6_plus",1.01E+50
,DTXCID101325680,0.090909091,"4,6-Bis[(2,2,3,3,4,4,5,5,6,6,7,7,7-tridecafluoroheptyl)oxy]-1,3,5-triazin-2-amine",DTXSID00896187,DTXCID101325680,57338-64-4,792.219,NC1=NC(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)=NC(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)=N1,0.090909091,"pfas_chain:FT_n1_hetero,pfas_chain:FT_n1_O,pfas_chain:perF-linear_cap_C6_excl_mod,pfas_chain:perF-linear_cap_C6_plus",1.01E+58
,DTXCID201507485,0.090909091,"4,7-Methanoisobenzofuran-1,3-dione, hexahydro-5-[(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)thio]-, (3aα,4α,5α,7α,7aα)-",DTXSID001023146,DTXCID201507485,62731-90-2,544.33,[H][C@@]12[C@@H]3C[C@@H](SCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)[C@@H](C3)[C@]1([H])C(=O)OC2=O,0.090909091,"pfas_chain:FT_n2_hetero,pfas_chain:FT_n2_S,pfas_chain:perF-linear_cap_C6_excl_mod,pfas_chain:perF-linear_cap_C6_plus",1.00E+50
,DTXCID701323406,0.090909091,4-(Nonafluorobutoxy)butanesulfonic acid ammonium salt,DTXSID00893398,DTXCID701323406,484023-69-0,389.23,[NH4+].[O-]S(=O)(=O)CCCCOC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.090909091,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:COC_ether_aliphatic_FCOCF,pfas_bond:COC_ether_FCOC,pfas_chain:perF-linear_cap_C4_excl",1.00E+118
,DTXCID30517797,0.090909091,4-(Tridecafluorohexyl)aniline,DTXSID60567023,DTXCID30517797,139613-90-4,411.166,NC1=CC=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.090909091,"pfas_bond:aromatic_FCc1c,pfas_chain:perF-linear_cap_C6_excl_mod,pfas_chain:perF-linear_cap_C6_plus,pfas_ring:aromatic_benzene_CF",1.00E+127
,DTXCID60399083,0.090909091,4-(Tridecafluorohexyl)benzoic acid,DTXSID60448262,DTXCID60399083,74701-31-8,440.16,OC(=O)C1=CC=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.090909091,"pfas_bond:aromatic_FCc1c,pfas_chain:perF-linear_cap_C6_excl_mod,pfas_chain:perF-linear_cap_C6_plus,pfas_ring:aromatic_benzene_CF",1.00E+127
,DTXCID801507390,0.090909091,4-(Tridecafluorohexyl)phenyl selenocyanate,DTXSID501022993,DTXCID801507390,234449-45-7,500.132,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CC=C([Se]C#N)C=C1,0.090909091,"pfas_bond:aromatic_FCc1c,pfas_chain:perF-linear_cap_C6_excl_mod,pfas_chain:perF-linear_cap_C6_plus,pfas_ring:aromatic_benzene_CF",1.00E+127
,DTXCID701776982,0.090909091,4-Carbazol-9-yl-N-[2-(4-methoxyphenyl)ethyl]-N-methyl (perfluorobutyl)amine,DTXSID001348221,DTXCID701776982,NOCAS_1348221,530.462,COC1=CC=C(CCN(C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)N2C3=C(C=CC=C3)C3=C2C=CC=C3)C=C1,0.090909091,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:CN_amine_aliphatic_generic_CF,pfas_bond:CN_amine_ter-N_generic_CF,pfas_chain:perF-linear_nocap_C4_excl",1.00E+118
,DTXCID101777613,0.090909091,4-Methyl-perfluorobutyl prop-2-enoate,DTXSID901348828,DTXCID101777613,NOCAS_1348828,286.121,CC(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(=O)C=C,0.090909091,"pfas_bond:C(=O)O_carboxylicEster_acyclic_OCCF,pfas_bond:C~Z_CF2CF2-Z,pfas_bond:COC_ether_FCOC,pfas_chain:perF-linear_nocap_C4_excl",1.10E+119
,DTXCID80723048,0.090909091,"4-[(3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluorooctyl)oxy]aniline",DTXSID90772305,DTXCID80723048,147395-06-0,455.219,NC1=CC=C(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1,0.090909091,"pfas_chain:FT_n2_hetero,pfas_chain:FT_n2_O,pfas_chain:perF-linear_cap_C6_excl_mod,pfas_chain:perF-linear_cap_C6_plus",1.01E+50
